Channel_CRC,Channel_Ori,Channel_RGB,Count_DNA,Count_Expanded_membrane,Count_membrane,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05ColorToGray,ExecutionTime_06ColorToGray,ExecutionTime_07ImageMath,ExecutionTime_08Threshold,ExecutionTime_09Threshold,ExecutionTime_10ImageMath,ExecutionTime_11IdentifyPrimaryObjects,ExecutionTime_12IdentifyPrimaryObjects,ExecutionTime_13ExpandOrShrinkObjects,ExecutionTime_14RelateObjects,ExecutionTime_15MeasureObjectSizeShape,ExecutionTime_16MeasureObjectIntensity,ExecutionTime_17OverlayOutlines,ExecutionTime_18SaveImages,FileName_CRC,FileName_Ori,FileName_RGB,Frame_CRC,Frame_Ori,Frame_RGB,Group_Index,Group_Length,Group_Number,Height_CRC,Height_Ori,Height_RGB,ImageNumber,ImageSet_ImageSet,MD5Digest_CRC,MD5Digest_Ori,MD5Digest_RGB,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05ColorToGray,ModuleError_06ColorToGray,ModuleError_07ImageMath,ModuleError_08Threshold,ModuleError_09Threshold,ModuleError_10ImageMath,ModuleError_11IdentifyPrimaryObjects,ModuleError_12IdentifyPrimaryObjects,ModuleError_13ExpandOrShrinkObjects,ModuleError_14RelateObjects,ModuleError_15MeasureObjectSizeShape,ModuleError_16MeasureObjectIntensity,ModuleError_17OverlayOutlines,ModuleError_18SaveImages,PathName_CRC,PathName_Ori,PathName_RGB,ProcessingStatus,Scaling_CRC,Scaling_Ori,Scaling_RGB,Series_CRC,Series_Ori,Series_RGB,Threshold_FinalThreshold_DNA,Threshold_FinalThreshold_Threshold_Blue,Threshold_FinalThreshold_Threshold_Red,Threshold_FinalThreshold_membrane,Threshold_GuideThreshold_Threshold_Red,Threshold_OrigThreshold_DNA,Threshold_OrigThreshold_Threshold_Blue,Threshold_OrigThreshold_Threshold_Red,Threshold_OrigThreshold_membrane,Threshold_SumOfEntropies_DNA,Threshold_SumOfEntropies_Threshold_Blue,Threshold_SumOfEntropies_Threshold_Red,Threshold_SumOfEntropies_membrane,Threshold_WeightedVariance_DNA,Threshold_WeightedVariance_Threshold_Blue,Threshold_WeightedVariance_Threshold_Red,Threshold_WeightedVariance_membrane,URL_CRC,URL_Ori,URL_RGB,Width_CRC,Width_Ori,Width_RGB
-2,-2,-2,46.0,69.0,69.0,0.0,0.0,0.703125,0.0,0.046875,0.046875,0.0,5.28125,0.15625,0.0,0.28125,0.265625,0.09375,0.03125,2.296875,0.28125,0.109375,0.046875,20250814_TM00_05_1h_1mindye_untreated_00_R3D_D3D_CRC-1.tif,20250814_TM00_05_1h_1mindye_untreated_00_R3D-1.tif,20250814_TM00_05_1h_1mindye_untreated_00_R3D_D3D_CRC-1.dv (RGB).tif,0,0,0,1,10,1,1024,1024,1024,1,b'eLs37Nn1sxntZwySmBntaAzjeB1y8Tna0yA2n6aUqRoZqBpZAINA1chySEQzjv4HaheGSu5QAMUQOELINQ0YQMg9KajZNvrIgjaQ/pWukY0+tKelj+oboAAOX4OqKjsAlr07NQ==',0a8925472b6258c98976bfa7e1679515,97aeb9e11c1d50c6d32d041cbf623b4f,d184fedbf5f2b2b4075a5257830aaa44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,Done,65535,65535,255,0,0,0,0.5,0.006954909767955542,0.15252526959723625,0.5,0.15,0.5,0.00695491,0.06001250722235143,0.5,-6.368475959645801,-13.010491498746433,-11.23655178315299,-6.440557747764885,0.005367807031429915,0.36048625124328737,0.7338923989139374,0.04718952109477346,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_00_R3D_D3D_CRC-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_00_R3D-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_00_R3D_D3D_CRC-1.dv%20%28RGB%29.tif,1024,1024,1024
-2,-2,-2,65.0,96.0,96.0,0.0,0.0,1.296875,0.0,0.09375,0.09375,0.015625,9.890625,0.265625,0.0,0.5,0.390625,0.171875,0.03125,4.984375,0.40625,0.125,0.0625,20250814_TM00_05_1h_1mindye_untreated_01_R3D_D3D_CRC-1.tif,20250814_TM00_05_1h_1mindye_untreated_01_R3D-1.tif,20250814_TM00_05_1h_1mindye_untreated_01_R3D_D3D_CRC-1.dv (RGB).tif,0,0,0,2,10,1,1024,1024,1024,2,b'eLs37Nn1sxntZwySmDEc7WgM33gdcvE52tMgNp+mlKkaGagaWQCDQNXIckhEM47+B2oXhkruUADFEDhCyDUNGEDIPSmo2Tb6yII2kP6VrpGNPrSnpY/qG6AADl+Dqio7AKG0Ozg=',02f258a4ea0f7d8785865553daf2c32c,4531703102362d97b828e3b328424d07,04bf99342e854c724e92e49bb8943e50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,Done,65535,65535,255,0,0,0,0.5,0.006289713084697723,0.1530842730481826,0.5,0.15,0.5,0.006289713,0.061041272520598995,0.5,-6.36148273199027,-12.792358631525286,-11.234445734604208,-6.488247325966005,0.005185853015038459,0.3136732485972402,0.6498650187732835,0.054545159953033204,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_01_R3D_D3D_CRC-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_01_R3D-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_01_R3D_D3D_CRC-1.dv%20%28RGB%29.tif,1024,1024,1024
-2,-2,-2,95.0,159.0,159.0,0.0,0.0,1.359375,0.0,0.109375,0.09375,0.0,9.34375,0.203125,0.015625,0.4375,0.46875,0.203125,0.046875,5.359375,0.640625,0.1875,0.109375,20250814_TM00_05_1h_1mindye_untreated_02_R3D_D3D_CRC-1.tif,20250814_TM00_05_1h_1mindye_untreated_02_R3D-1.tif,20250814_TM00_05_1h_1mindye_untreated_02_R3D_D3D_CRC-1.dv (RGB).tif,0,0,0,3,10,1,1024,1024,1024,3,b'eLs37Nn1sxntZwySmEGvFIdOlhrtaBCM1yEXn6M9DWLzaUqZqpGBqpEFMAhUjSyHRDTj6H+gdmGo5A4FUAyBI4Rc04ABhNyTgppto48saAPpX+ka2ehDe1r6qL4BCuDwNaiqsgMArKs7Ow==',6a1e81d031892a980e020d701d0f2529,9639ba35bdafc2916400321f7a360ce3,0a4dc019dafa82d4ab45c8c97d127d72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,Done,65535,65535,255,0,0,0,0.5,0.006217900663614273,0.15553516433296424,0.5,0.15,0.5,0.0062179007,0.06555515546139622,0.5,-6.365201068569597,-12.9102640707811,-11.439099608084017,-6.421533041784957,0.008784356261052683,0.5599754677229072,1.0781289317384903,0.043925902796236926,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_02_R3D_D3D_CRC-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_02_R3D-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_02_R3D_D3D_CRC-1.dv%20%28RGB%29.tif,1024,1024,1024
-2,-2,-2,30.0,43.0,43.0,0.0,0.0,1.296875,0.0,0.09375,0.09375,0.015625,9.453125,0.609375,0.015625,0.484375,0.484375,0.15625,0.03125,5.03125,0.5625,0.203125,0.078125,20250814_TM00_05_1h_1mindye_untreated_03_R3D_D3D_CRC-1.tif,20250814_TM00_05_1h_1mindye_untreated_03_R3D-1.tif,20250814_TM00_05_1h_1mindye_untreated_03_R3D_D3D_CRC-1.dv (RGB).tif,0,0,0,4,10,1,1024,1024,1024,4,b'eLs37Nn1sxntZwySmDEe7WgM33gdcvE52tMgNp+mlKkaGagaWQCDQNXIckhEM47+B2oXhkruUADFEDhCyDUNGEDIPSmo2Tb6yII2kP6VrpGNPrSnpY/qG6AADl+Dqio7ALeiOz4=',6fc9ebc7e8f084f27f27ec2deb06c7c8,dc9da54956e78ddd8ff2a6bb5efb05a4,35516209bb4d5cdeaa99c4bbfe3c8bcb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,Done,65535,65535,255,0,0,0,0.5,0.0042,0.1517099177406354,0.5,0.15,0.5,0.0017585288,0.05607613115160948,0.5,-6.378783401149524,-13.378268031994569,-11.22394536261033,-6.416101185340461,0.29705716629976814,0.4678193073728494,0.6126282804818288,0.026309426982973227,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_03_R3D_D3D_CRC-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_03_R3D-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_03_R3D_D3D_CRC-1.dv%20%28RGB%29.tif,1024,1024,1024
-2,-2,-2,32.0,33.0,33.0,0.0,0.0,1.328125,0.0,0.09375,0.078125,0.015625,9.640625,0.515625,0.015625,0.515625,0.484375,0.15625,0.03125,4.890625,0.484375,0.140625,0.0625,20250814_TM00_05_1h_1mindye_untreated_04_R3D_D3D_CRC-1.tif,20250814_TM00_05_1h_1mindye_untreated_04_R3D-1.tif,20250814_TM00_05_1h_1mindye_untreated_04_R3D_D3D_CRC-1.dv (RGB).tif,0,0,0,5,10,1,1024,1024,1024,5,b'eLs37Nn1sxntZwySmEGvGoZOlhrtaBCM1yEXn6M9DWLzaUqZqpGBqpEFMAhUjSyHRDTj6H+gdmGo5A4FUAyBI4Rc04ABhNyTgppto48saAPpX+ka2ehDe1r6qL4BCuDwNaiqsgMAwpk7QQ==',1f6edfb9982e37639ea52ef7f297b2fd,d6583d7afd6adb961e2e05225ba16697,ae2bb0576772d3c78e82d00b1f665577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,Done,65535,65535,255,0,0,0,0.5,0.0042,0.15147215844395656,0.5,0.15,0.5,0.0017402607,0.05040665783646875,0.5,-6.389227278412182,-13.409930453810397,-11.173432273872315,-6.386272961997762,0.2447808111353221,0.4418140943104163,0.6113796511939427,0.02940374536987654,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_04_R3D_D3D_CRC-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_04_R3D-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_04_R3D_D3D_CRC-1.dv%20%28RGB%29.tif,1024,1024,1024
-2,-2,-2,31.0,52.0,52.0,0.0,0.0,1.234375,0.0,0.09375,0.09375,0.015625,10.03125,0.4375,0.015625,0.515625,0.421875,0.109375,0.03125,4.65625,0.375,0.140625,0.046875,20250814_TM00_05_1h_1mindye_untreated_05_R3D_D3D_CRC-1.tif,20250814_TM00_05_1h_1mindye_untreated_05_R3D-1.tif,20250814_TM00_05_1h_1mindye_untreated_05_R3D_D3D_CRC-1.dv (RGB).tif,0,0,0,6,10,1,1024,1024,1024,6,b'eLs37Nn1sxntZwySmDEd7WgM33gdcvE52tMgNp+mlKkaGagaWQCDQNXIckhEM47+B2oXhkruUADFEDhCyDUNGEDIPSmo2Tb6yII2kP6VrpGNPrSnpY/qG6AADl+Dqio7AM2QO0Q=',4ba3dd39c446e22c0f36d5b059d87774,9906c2328e5498ef34e20c7012db01e7,ed99da7ea4fb0966b3df4cfc38c01981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,Done,65535,65535,255,0,0,0,0.5,0.00616439851000905,0.1519335718273027,0.5,0.1555020958185196,0.5,0.0061643985,0.055821454722541686,0.5,-6.366693252721221,-12.90454837522077,-11.231780942173968,-6.465519565204534,0.0035990874403163476,0.44984878038563636,0.6714310791434173,0.019412978606110166,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_05_R3D_D3D_CRC-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_05_R3D-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_05_R3D_D3D_CRC-1.dv%20%28RGB%29.tif,1024,1024,1024
-2,-2,-2,74.0,110.0,110.0,0.0,0.0,1.25,0.0,0.078125,0.125,0.015625,8.953125,0.21875,0.0,0.40625,0.390625,0.1875,0.046875,4.484375,0.65625,0.21875,0.109375,20250814_TM00_05_1h_1mindye_untreated_06_R3D_D3D_CRC-1.tif,20250814_TM00_05_1h_1mindye_untreated_06_R3D-1.tif,20250814_TM00_05_1h_1mindye_untreated_06_R3D_D3D_CRC-1.dv (RGB).tif,0,0,0,7,10,1,1024,1024,1024,7,b'eLs37Nn1sxntZwySmEEvIodOlhrtaBCM1yEXn6M9DWLzaUqZqpGBqpEFMAhUjSyHRDTj6H+gdmGo5A4FUAyBI4Rc04ABhNyTgppto48saAPpX+ka2ehDe1r6qL4BCuDwNaiqsgMA2Ic7Rw==',a2b0c72f17f733e782ce5d5f3434a6a0,0027da58d55a1dc77432418842536413,12a99c50b8088dd6e7d4e6de3397b302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,Done,65535,65535,255,0,0,0,0.5,0.006076127290725708,0.15386995831257116,0.5,0.15,0.5,0.0060761273,0.05688125902990968,0.5,-6.375727308217611,-12.882850965638518,-11.502440957737146,-6.371808152994022,0.011587495130306316,0.32266046879556143,0.9152104393476037,0.06599845580402042,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_06_R3D_D3D_CRC-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_06_R3D-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_06_R3D_D3D_CRC-1.dv%20%28RGB%29.tif,1024,1024,1024
-2,-2,-2,133.0,203.0,203.0,0.0,0.0,1.28125,0.0,0.09375,0.109375,0.015625,9.390625,0.234375,0.0,0.5,0.5,0.1875,0.03125,6.0625,0.5625,0.125,0.09375,20250814_TM00_05_1h_1mindye_untreated_07_R3D_D3D_CRC-1.tif,20250814_TM00_05_1h_1mindye_untreated_07_R3D-1.tif,20250814_TM00_05_1h_1mindye_untreated_07_R3D_D3D_CRC-1.tif (RGB).tif,0,0,0,8,10,1,1024,1024,1024,8,b'eLs37Nn1sxntZwySmDEf7WgM33gdcvE52tMgIZ+qGhmoGlkAw0DVyHJIxDOODghqH4ZK7lAARRE4Rsg1DRhAyF0pqNk2+siCNpAOlq6RjT60q6WP6hugAA5fg+oqOwBABzuz',d7df89a01b5042d0e598b73189e6e24c,91a83d16e87c9bd6746f441067cf4908,b9c1bd32641dbff7fe384938c4c46f11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,Done,65535,65535,255,0,0,0,0.5,0.005972526501864195,0.15642178498926665,0.5,0.15,0.5,0.0059725265,0.06916393831407752,0.5,-6.381850399770515,-12.672849067784028,-11.499422817348329,-6.424149054946083,0.022864500820401673,0.26127828134684705,1.0167290361944197,0.0611858331012724,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_07_R3D_D3D_CRC-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_07_R3D-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_07_R3D_D3D_CRC-1.tif%20%28RGB%29.tif,1024,1024,1024
-2,-2,-2,108.0,152.0,152.0,0.0,0.0,1.265625,0.0,0.09375,0.09375,0.015625,9.484375,0.21875,0.0,0.484375,0.484375,0.203125,0.0625,5.5625,0.609375,0.21875,0.09375,20250814_TM00_05_1h_1mindye_untreated_08_R3D_D3D_CRC-1.tif,20250814_TM00_05_1h_1mindye_untreated_08_R3D-1.tif,20250814_TM00_05_1h_1mindye_untreated_08_R3D_D3D_CRC-1.dv (RGB).tif,0,0,0,9,10,1,1024,1024,1024,9,b'eLs37Nn1sxntZwzSmBk6WWq0o0EwXodcfI72NIjNpyllqkYGqkYWwCBQNbIcEtGMo/+B2oWhkjsUQDEEjhByTQMGEHJPCmq2jT6yoA2kf6VrZKMP7Wnpo/oGKIDD16Cqyg4A7nU7TQ==',a3e03b0e7b057d1596d646478abbb189,65e1d661b34b3ed7de7ee1b82ddccf0f,20e69afacd427b0ae7e9e98aa56621b8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,Done,65535,65535,255,0,0,0,0.5,0.0063176569528877735,0.15451546488030582,0.5,0.15,0.5,0.006317657,0.056742369601333914,0.5,-6.397954473289722,-12.563916475977752,-11.31856424970163,-6.462456166211932,0.024616313471214082,0.20570158737855593,0.9369261330501217,0.0516430397730665,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_08_R3D_D3D_CRC-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_08_R3D-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_08_R3D_D3D_CRC-1.dv%20%28RGB%29.tif,1024,1024,1024
-2,-2,-2,34.0,38.0,38.0,0.0,0.0,1.28125,0.0,0.09375,0.078125,0.015625,9.375,0.21875,0.0,0.4375,0.453125,0.171875,0.015625,4.453125,0.59375,0.1875,0.234375,20250814_TM00_05_1h_1mindye_untreated_09_R3D_D3D_CRC-1.tif,20250814_TM00_05_1h_1mindye_untreated_09_R3D-1.tif,20250814_TM00_05_1h_1mindye_untreated_09_R3D_D3D_CRC-1.dv (RGB).tif,0,0,0,10,10,1,1024,1024,1024,10,b'eLs37Nn1sxntZwySmLEc7WgM33gdcvE52tMgNp+mlKkaGagaWQCDQNXIckhEM47+B2oXhkruUADFEDhCyDUNGEDIPSmo2Tb6yII2kP6VrpGNPrSnpY/qG6AADl+Dqio7APlsO1A=',da040f5d6aecdc03dac79554b478deca,be0a1fc3b00973de72279e4efb361727,03a9ca4a5d5dc368d3305394588d7b75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,C:\Workspace\Thesis\Images\20250814_Tae\TIF\TM00_5\untreated,Done,65535,65535,255,0,0,0,0.5,0.0042,0.1524965294245157,0.5,0.15278379619121552,0.5,0.0027164887,0.06409079758246358,0.5,-6.393953845807111,-13.522595332349947,-11.363755883386608,-6.518085722043825,0.3119928263202093,0.4151583942759203,0.7029717504483983,0.05080957017188785,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_09_R3D_D3D_CRC-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_09_R3D-1.tif,file:///C:/Workspace/Thesis/Images/20250814_Tae/TIF/TM00_5/untreated/20250814_TM00_05_1h_1mindye_untreated_09_R3D_D3D_CRC-1.dv%20%28RGB%29.tif,1024,1024,1024
