ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,82.0,114.10169491525424,0,1
1,2,97.5,144.06179775280899,0,2
1,3,568.5464788732394,167.08169014084507,0,3
1,4,539.4364261168384,200.10996563573883,0,4
1,5,559.7463976945245,206.29106628242076,0,5
1,6,571.2362869198312,226.67932489451476,0,6
1,7,543.6816479400749,231.59550561797752,0,7
1,8,529.6490566037736,247.8679245283019,0,8
1,9,561.3490566037735,250.51415094339623,0,9
1,10,545.4,254.48235294117646,0,10
1,11,552.2518796992481,271.19924812030075,0,11
1,12,527.5791366906475,279.59712230215825,0,12
1,13,567.140625,292.171875,0,13
1,14,543.4404332129964,295.4801444043321,0,14
1,15,513.3618233618233,310.63532763532766,0,15
1,16,303.39130434782606,314.2130434782609,0,16
1,17,554.983606557377,319.9303278688525,0,17
1,18,533.0065573770491,324.4327868852459,0,18
1,19,654.2825278810409,332.7620817843866,0,19
1,20,377.6,347.655,0,20
1,21,301.0074074074074,345.14814814814815,0,21
1,22,505.56476683937825,343.51554404145077,0,22
1,23,544.3531468531469,348.1118881118881,0,23
1,24,395.6925566343042,366.5873786407767,0,24
1,25,632.0664451827242,355.6744186046512,0,25
1,26,383.5188679245283,361.75471698113205,0,26
1,27,338.5399239543726,373.2490494296578,0,27
1,28,595.6180555555555,368.43055555555554,0,28
1,29,312.27142857142854,371.425,0,29
1,30,363.172602739726,380.65479452054797,0,30
1,31,291.5219638242894,402.7467700258398,0,31
1,32,601.2982456140351,399.04561403508774,0,32
1,33,316.6241379310345,400.8241379310345,0,33
1,34,343.36842105263156,405.98142414860683,0,34
1,35,305.6302521008403,410.97478991596637,0,35
1,36,620.280487804878,427.0243902439024,0,36
1,37,323.5,424.589552238806,0,37
1,38,304.7548076923077,431.99038461538464,0,38
1,39,635.1470588235294,453.0420168067227,0,39
1,40,935.7311557788945,482.5100502512563,0,40
1,41,972.2810945273632,483.8407960199005,0,41
1,42,768.0700389105058,494.1400778210117,0,42
1,43,775.37890625,521.73828125,0,43
1,44,634.8308270676691,532.281954887218,0,44
1,45,613.4668769716088,535.2397476340694,0,45
1,46,388.32402234636874,539.4245810055866,0,46
1,47,286.21198156682027,541.4377880184331,0,47
1,48,652.3567415730337,554.2303370786517,0,48
1,49,630.7829787234042,562.8723404255319,0,49
1,50,271.24789915966386,563.3823529411765,0,50
1,51,407.09032258064514,570.1161290322581,0,51
1,52,610.3629629629629,568.837037037037,0,52
1,53,514.3612334801762,587.4977973568282,0,53
1,54,472.43310657596373,613.2426303854875,0,54
